標準ACLを作成するコマンドはどれか？,(config)# accsess-list 10,(config)# accsess-list 100,(config-if)# accsess-list 10,(config)# ip access-group 100
VTYポートにACLを設定するコマンドはどれか？,(config-line)# accsess-class,(config-if)# ip access-group,(config-if)# accsess-class,(config-vty)# accsess-class
DNSとは何の略ですか？,Domain Name System,Dynamic Network System,Digital Number Service,Data Network Service
DNSの主な役割は何ですか？,ドメイン名をIPアドレスに変換する,IPアドレスの割り当て,ネットワークの監視,プライベートIPアドレスとグローバルIPアドレスの変換
DNSレコードの種類で、IPアドレスに対応するホスト名を指定するのはどれですか？,Aレコード,MXレコード,CNAMEレコード,TXTレコード
正引きの説明として正しい物はどれか？,URLからIPアドレスを調べる事,IPアドレスからURLを調べる事,IPアドレスからMACアドレスを調べる事,MACアドレスからIPアドレスを調べる事
逆引きの説明として正しい物はどれか？,IPアドレスからURLを調べる事,URLからIPアドレスを調べる事,MACアドレスからIPアドレスを調べる事,IPアドレスからMACアドレスを調べる事
STPの主な目的は何ですか？,ループの防止,ネットワークトラフィックの暗号化,データの圧縮,IPアドレスの管理
STPにおけるルートブリッジとは何ですか？,最も優先順位の高いスイッチ,全てのトラフィックを制御するデバイス,ネットワーク全体のバックアップを行うデバイス,ループを検出するデバイス
STPのポート状態でないものはどれですか？,Sending,Blocking,Listening,Learning
VLANの主な目的は何ですか？,ネットワークのセグメンテーション,ネットワークトラフィックの暗号化,IPアドレスの管理,データの圧縮
VLANの利点は次のうちどれですか？,セキュリティの向上,ネットワークのループを防止,IPアドレスの自動割り当て,データ圧縮の向上
VLAN IDの範囲は次のうちどれですか？,1-4094,1-100,1-1024,1-2048
VLAN間の通信を可能にするには何が必要ですか？,ルーター,L2スイッチ,ハブ,リピーター
VLANに関するトランキングとは何ですか？,複数のVLANを1つのリンクにまとめる,VLAN間の通信を防ぐ,ルーターの設定を簡素化する,IPアドレスを自動で割り当てる
トランクポートの主な目的は何ですか？,複数のVLANを通す,単一のVLANのみを通す,管理トラフィックのみを通す,データを暗号化する
802.1Qとは何を定義するプロトコルですか？,トランクポート上でのVLANタグ付け,IPアドレスの割り当て,MACアドレスの解決,ネットワークのセグメント化
トランクリンク上でデフォルトでタグ付けされないVLANはどれですか？,ネイティブVLAN,管理VLAN,デフォルトVLAN,ユーザー定義VLAN
NATの主な目的は何ですか？,ローカルIPアドレスの隠蔽,ダイナミックルーティングを行うため,データ圧縮,トラフィックのルーティング
静的NATとは何ですか？,1つの内部IPアドレスを1つの外部IPアドレスにマッピングする,1つの内部IPアドレスを複数の外部IPアドレスにマッピングする,複数の内部IPアドレスを1つの外部IPアドレスにマッピングする,複数の内部IPアドレスを複数の外部IPアドレスにマッピングする
動的NATではどのようにIPアドレスが割り当てられますか？,利用可能なIPアドレスプールから自動的に割り当てる,事前に設定された1つのIPアドレスを使用する,ラウンドロビン方式で割り当てる,ユーザーが手動で選択する
オーバーロードNAT（PAT）とは何ですか？,複数の内部IPアドレスを1つの外部IPアドレスにマッピングする,1つの内部IPアドレスを1つの外部IPアドレスにマッピングする,1つの内部IPアドレスを複数の外部IPアドレスにマッピングする,複数の内部IPアドレスを複数の外部IPアドレスにマッピングする
NATの利点は何ですか？,IPアドレスの枯渇を防ぐ,データの圧縮を行う,ネットワーク速度を向上させる,セキュリティを低下させる
QoSの主な目的は何ですか？,ネットワークトラフィックの優先順位付け,ネットワークのセキュリティ向上,データの圧縮,ネットワークの監視
QoSで最も重要な要素はどれですか？,選択肢全て,帯域幅,ジッター,遅延
QoSを実装するために使用される一般的な方法はどれですか？,トラフィックシェーピング,暗号化,データ圧縮,IPアドレス変換
テールドロップの説明として合っているものはどれですか？,着信したパケットを捨てる事,キューに着信した順番にパケットを送信する事,ACLによって破棄されたパケットの事,美味しいテールスープを凝縮して飴にしたもの
RSVPを使用するのはどれか？,IntServ,DiffServ,iBGP,ベストエフォート
CBWFQの説明として正しい物はどれか？,クラスごとに帯域幅を割り当て、帯域幅を確保する事,キューに着信した順番にパケットを送信する事,優先度の高いキューから通信を流すこと,パケロスの事
IEEE802.11gの特徴はどれか？,最大伝送速度が54Mbpsである,5GHzを使用する,最大伝送速度が11Mbpsである,IEEE802.11bとの互換性がない
アドホックモードの正しい説明はどれか？,APを介さず無線LANクライアント同士が通信を行う事,APを介して無線LANクライアント同士が通信を行う事,有線接続で通信を行う事,自動でAPに接続する機能の事
IEEE802.11のフレームに存在しないものはどれか？,セキュリティフレーム,管理フレーム,制御フレーム,データフレーム
