「コンピュータを移動先で利用できること」を実現するためにPCの小型・軽量化・省電力化をコンセプトととしてノートPCはいつごろ登場したか？,1990年代,1980年代,2000年代,2010年代,,
無線LANなどのワイヤレス通信機能を内蔵したPCをなんと呼ぶか？,embedded PC,UMPC,タブレット,PDA,UMPC：Ultra Mobile PC、2006年以降に登場したさらなるモバイル性を追及したPCPDA：Persoanl Digital Assistant、PCの機能の一部を取り出して移動中に利用可能として携帯情報端末,
クライアント/サーバ型のコンピュータシステムやインターネットの普及により、通信回線を介して他のコンピュータとデータのやり取りを行うことをなんというか？,リモートアクセス,VPN,無線LAN,FTTH,,
2009年ころから、「あらゆるものがインターネットに接続されている状態、あるいは者を接続することでコミュニケーションを可能にする技術」と定義された言葉は？,IoT,M2M,ユビキタスコンピューティング,モバイルコンピューティング,,
顧客関係管理 をアルファベットでなんというか？,CRM,CCD,ICT,MDM,ICT：情報通信技術CCD：Charge Coupled Devicesセンサ、モバイル端末の撮像素子に使われるセンサ。MDM：モバイルデバイス管理,
モバイルネットワークの端末として、情報処理を行い、ネットワークを終端する機能を持った通信機器はなんというか。,モバイル端末,モバイル接続機器,データ通信カード,モバイルワイヤレスルータ,,
情報処理機能を持たず、他の端末や機器に対して通信接続機能を提供したり、ネットワーク間の通信を中継したりする機能を持ったモバイル機器は？,モバイル接続機器,情報通信端末,情報処理端末,モバイル端末,,
【A】【B】に入る正しい言葉の組み合わせを選べ。PCやタブレット端末をモバイル環境下で利用するには、ワイヤレスデータ通信サービスを利用した通信接続機能への対応が必要であり、モバイル接続機器をPCのスロットに挿入してネットワークへ接続するのが一般的だったが、現在は無線LANモジュールなどを内蔵した(これを【A】という)ノートPCやタブレット端末が主流になりつつある。2014年に日本HPが既存のモバイルノートPCに通信モジュールを内蔵した「【B】モデル」を追加して以降、現在は5G対応モジュールが組み込まれたノートPCの発売も行われている。,A：embeddedB：LTE,A：enhancedB：Wi-Fi,A：embeddedB：Wi-Fi,A：enhancedB：LTE,2007年以降に、KDDIの「CDMA 1X WIN対応通信モジュール」を内蔵した中国Lenovo社のノートPCや、NTTドコモのFOMA通信モジュールを内蔵した富士通、ソニーのノートPCなどが登場しました。,
【A】に入る正しい言葉を選べ。携帯電話端末において、通話、ショートメッセージサービス、メールなど限定された機能のみ具備する機種を【A】と呼ぶ。,ベーシックフォン,フィーチャーフォン,スマートフォン,らくらくホン,フィーチャーフォン：2000年以降、ベーシックフォンから進化し、モバイルインターネット機能を備え、Webアプリケーションが動作し、GPS、ワンセグ、カメラ機能強化、おサイフケータイなどベーシックフォンから機能追加された。スマートフォン：2004年から提供され、様々なアプリケーションを追加することで多機能化、カスタマイズが可能になった携帯電話。らくらくホン：NTTドコモから販売される高齢者向けベーシックフォン。KDDIからは提供されているものは、かんたんケータイと呼ばれる。,
MCPCにおいて、以下で定義される端末を正しく選べ「情報処理および通話・データ通信の機能を備え、自由なアプリケーションの対かと開発による機能の拡張やカスタマイズを実現するため、仕様が公開されたオペレーションシステム(OS)を搭載したモバイル端末」,スマートフォン,ベーシックフォン,フィーチャーフォン,ガラホ,AndroidもiOSも、アプリケーション開発に関する仕様が公開されています,
スマートフォン展開の歴史において、【A】【B】にあてはまる正しい組み合わせを選べ。2004年：ボーダフォン(現【A】)からVodafon702NK 発売2005年：NTTドコモからFOMA M1000、ウェルコム(現【A】)からWindows Mobile5.0を搭載した W-ZERO3 発売2007年：イー・モバイル(現【A】)からWindows Mobile6.0搭載のEMONSTER(S11HT) 発売2009年：KDDIからE30HT 発売2010年：Microsofty社から、新しい携帯電話プラットフォームの【B】発表,【A】ソフトバンク【B】Windows Phone 7 Series,【A】ソフトバンク【B】Black Berry,【A】楽天モバイル【B】Windows Phone 7 Series,【A】楽天モバイル【B】Black Berry,,
表示視聴端末として誤りがあるものを選べ,M2Mデバイス,デジタルサイネージ,携帯音楽プレイヤー,電子書籍端末,M2Mデバイスは、情報収集端末として分類され、センサネットワーク端末や、車両運行管理システム用車載端末などがあげられます。そのほか、携帯音楽プレイヤーも表示視聴端末に含まれます。電子書籍端末：Amazon.com社のKindleシリーズ、楽天で取り扱うKoboシリーズなど。通信接続機能を有し、オンライン書店から電子書籍コンテンツをDLして利用可能。デジタルサイネージ：電子看板とも呼ばれ、表示と通信にデジタル技術を活用し、平面ディスプレイやプロジェクタなどによって映像や情報を表示する。デジタルフォトフレーム：デジタルカメラや携帯電話などで撮影した写真データを液晶ディスプレイに表示する専用端末。,
産業機械や車載機器などの様々な機器に組み込まれ、製品の稼働状況や位置情報などを取得し、効率的に管理できるソリューションを提供するために、M2M・IoTの通信機能を提供する役割をになっている機器として活用されるものは？,データ通信モジュール,データ通信カード,モバイルワイヤレスルータ,USBドングル,データ通信カード：PCのUSBコネクタに著k末津挿入して利用するデータ通信専用機器。講習無線LANサービスに利用できる無線LANカードもこの種類に分類される。データ通信モジュール：自動車や自動販売機など、PCやPDA以下の様々な機器や装置によるモバイルネットワークの利用を想定して、アンテナコネクタやUARTシリアルインタフェースを持った機種が商品化されている。モバイルワイヤレスルータ：インターネット接続のWAN側に通信用としてLTEや5G、WiMAXの無線回線を用い、LAN側に無線LANなどの無線回線を用いて、LAN/WAN間を中継する電池内蔵ルータであり、モバイルルータとも呼ばれる。,
2003年にKDDIから提供された方式で、データ伝送専用の通信方式が取り入れられ、下り方向で最大3.1～9.2Mbpsの速度を実現した方式はなに？,CDMA2000 1x EV-DO,CDMA2000 1X,W-CDMA,HSPA,CDMA200 1Xは、KDDI採用の下り最大数百kbps。W-CDMA：NTTドコモやソフトバンクモバイル(現ソフトバンク)に採用、下り最大数百kbps。HSPA：W-CDMAのデータ通信方式を高速化した方式。,
LTE-Advanced方式の代表的な技術であり、国内ではKDDIが初めて利用、NTTドコモでは2018年5月に下り最大988Mbpsの実現に寄与した、周波数を束ねることで高速度化可能な技術はなにか？,CA(Carrier Aggregation),周波数ホッピング,FDD(frequency Division Duplex),OFDM,,
3GPPにおいて、LTEやLTE-Advancedをベースに、MTC(Machine Type Communication)、eMTC、NB-IoTというIoT関連の無線アクセスネットワーク技術が規定されましたが、それとは別に、SigfoxなどのIoT用広域低速データ通信に特化した方式を総称してなんというか？,LPWA,LoRaWAN,XGP,Wireless City Plannig,LPWA：Low Power Wide Area。省電力広域ネットワークと呼ばれる、無線通信技術の総称。Sigfox：Sigfox社が、UltraNarrow band(UND)とLow Throughput Networks(LTN)と呼ばれる2つの技術を核として開発したLPWA。欧州などでサービス提供。LoRaWAN：LoRa Allianceが策定いたLPWA技術。勧告や欧州などで運用されている。XGP：eXtended Global Platform。PHSをベースにOFDM/TDD技術などを適用して伝送速度の高速化を図ったシステム。Wireless City Plannnig：AXGPというネットワークを提供してるSoftbank参加の通信通信事業者。,
以下文章の【A】～【D】にあてはまる正しい組み合わせを選べ。次世代PHSに相当する【A】サービスを2009年10月にウィルコムが提供開始したが、2010年12月に【B】へ継承した。その後、【A】を高度化、拡張した【C】というサービスを提供したが、その中で自営システムのものを【D】と呼ぶ。,【A】XGP【B】Wireless City Planning【C】AXGP【D】sXGP,【A】ISDN【B】Wireless City Planning【C】sXGP【D】AXGP,【A】BWA【B】UQモバイル【C】sXGP【D】AXGP,【A】BWA【B】UQモバイル【C】AXGP【D】sXGP,,
モバイルWiMAXについて正しいものを選べ,UQコミュニケーションズによるモバイルWiMAXサービスは2020年3月に終了している。,モバイルWiMAXの標準規格はIEEE802.16aである。,2017年には、下り最大558Mbpsを達成したが、2022年以降、周波数の一部をKDDI 5G用に転用したことにより、下り最大220Mbpsとなった。,TD-LTE方式と呼ばれる通信方式は、周波数分割方式である。,・モバイルWiMAXの標準規格はIEEE 802.16eである。・2017年時の最大下り速度は1.2Gbpsである(LTE網とのキャリアアグリゲーションを行った場合)。純粋なモバイルWiMAXの周波数利用だけでは、558Mbpsが最大。・TD-LTE方式は、時分割周波数方式である。Time-Duplex,
LTE(3.9G)の下り通信速度(理論値)として正しいものを1つ選べ,37.5~150Mbps,76~261Mbps,300Mbps~1Gbps,300Mbps、4.2~20Gbps,AXGP：76～261Mbps4G(LTE-advanced)：300Mbps～1Gbps5G-NR：300Mbps、4.2~20Gbps,
1979年に【A】が自動車電話サービスを開始。1987年に約900gの【B】が発売された。,【A】日本電信電話公社【B】携帯電話,【A】日本移動通信【B】携帯電話,【A】日本電信電話公社【B】ノートパソコン,【A】日本移動通信【B】ノートパソコン,1985年に質量約3kgのショルダーホンが日本電信電話公社から発売。1988年12月にトヨタ自動車系の日本移動通信(IDO、現KDDI)が首都圏と東海地区でNTT大容量方式によるサービス開始。,
移動体通信の第１世代は、第２世代以降の方式とは違い、どのような方式であったか。,アナログ方式,デジタル方式,TDD方式,FDD方式,第２世代以降はデジタル方式。TDD(Time Devision Duplex)、FDD(frequency Devision Duplex)はアップリンクとダウンリンクのデータ送信を時間軸上で占有時間を分けるか、異なる周波数を割り当てるか、に違いがある。,
日本では、NTT/NTTドコモを中心に標準デジタル携帯電話システムとして【A】の開発が進められ、日本における最初のデジタル携帯電話サービスが1993年に東京23区で開始された。,PDC,cdmaOne,TACS,PHS,PDC：Personal Digital Cellular。cdmaOne：2Gにおいて、KDDIが提供していたい通信方式。PDCより通信速度が速かったため、2.5Gとも呼ばれていた。米Qualcomm社がCDMAをベースに開発したデジタル携帯電話の規格。TACS：米Motorolaが開発したアナログ携帯電話システム。PHS：当初のコンセプトとして、アナログコードレス電話の後継として甲斐華されたデジタルコードレス電話システムを活用した通信規格。,
以下【A】にはいる正しい選択肢を選べ。1990年代末には携帯電話サービスの進化は音声からデータ通信分野に移り、1999年には、NTTドコモによる「iモード」を開始し、その後モバイルインターネットサービスは急速に進化していく。データ通信の高速化、通信料金の低廉化のニーズが高まり、対応できるシステムとして、NTTドコモが2001年に世界初の商用サービスとしてスタートした、第【A】世代携帯電話が登場。,3,2,1,4,,
以下【A】【B】にはいる正しい組み合わせを選べ。3Gにおいて、W-CDMAで最高【A】bps、CDMA2000 1Xで【B】bpsという高速パケット通信が実現。,【A】384【B】144,【A】256k【B】500k,【A】384k【B】144k,【A】256【B】500,,
正しい記述を1つ選べ,複数の周波数を束ねて通信速度を向上させる技術をキャリアアグリゲーションと呼ぶ。,100Mbps～1Gbpsの高速通信速度を目指したLTEの次の技術は5Gである。,5Gの商用サービスは4キャリア(NTTドコモ、KDDI、ソフトバンク、楽天モバイル)が2020年3月に開始した。,5Gの商用サービス展開において、コア設備をEPCと組み合わせたSA方式と、5GCを使ったNSA方式と2種類ある。,・100Mbps～1Gbpsの通信速度を目指した、LTEの次の技術はLTE-Advancesである。・5Gの商用サービスは楽天のみ2020年9月にスタート。・5GCを利用したものをSA(Stand Alone)方式、EPCと組み合わせたものをNSA(Non Stand Alone)方式と呼ぶ。,
モバイルWiMAXのサービスを全国展開する日本で唯一の通信事業者は？,UQコミュニケーションズ,Wirelee City Planning,楽天モバイル,ソフトバンク,Wireless City Planning：2.5GHz帯でのXGPを提供している。,
音声通話サービスは、回線交換通信で提供されるのが基本だったが、データ通信サービスと同じパケット通信によるもので提供されるようになった。それがIP電話サービス(IPネットワーク状での音声を伝送する【A】技術を使ったサービス)である。2014年からは移動体通信網においても、【A】技術を利用した音声通話サービスが提供され「IP移動電話サービス」とも呼ばれ、LTEを用いたサービスは【B】と呼ばれている。,【A】VoIP【B】VoLTE,【A】FTTH【B】VoLTE,【A】VoIP【B】FaceTime,【A】FTTH【B】FaceTime,VoIP：Voice  over  IPVoLTE：Voice  over  LTE,
モバイル端末は移動体通信事業者各社からモバイルインターネットサービスを用いて、インターネット接続が可能となる。KDDIからは【A】、ソフトバンクからは【B】という名称で提供されている。,【A】IS NET【B】ウェブ使用料,【A】spモード【B】ウェブ使用料,【A】LTE NET【B】5G NET,【A】spモード【B】LTE NET,NTTドコモ：spモードKDDI：IS NET / LTE NET / 5G NETソフトバンク：ウェブ使用料,
電子メールサービスのメール受信時の概略図(P42、図3-6-1を添付する)を表しているが、受信時の行程を順番に並べろ。A：着信通知 or 本文のみ配信。B：メール問い合わせ。C：本文＋添付ファイル到達。D：本文・添付ファイルDL。,C→A→B→D,A→B→C→D,D→A→B→C,C→A→D→B,,mcpc_rank2_3_42.jpg
迷惑メール対策としての記述について誤っているものをすべて選べ。,2002年に「特定電子メールの送信の適正化等に関する法律」が施行され、事前にメール送信に同意した相手のみ、広告、宣伝等のメールの送信を許可した。,総務省は2008年に「迷惑メールへの対応の在り方に関する研究会」の最終報告をまとめ、その報告に沿って、通信事業者も本格的な対策に乗り出します。,2008年以降の通信事業者の対策は、１：メールアドレス変更の容易化。２：通信事業者側での大量の宛先不明メールの配信ブロック。３：大量発信を行うユーザーとの契約解除可能,通信事業者がユーザーに提供している機能は未承諾広告メール拒否、なりすましメール拒否、指定ドメイン受信/拒否、URL付メール拒否設定などがある。,2002年に「特定電子メールの送信の適正化等に関する法律」を施行し、発信者に連絡先の表示等を義務づけた他、2008年の改正では事前に電子メールの送信に同意した相手に対してのみ、広告、宣伝または勧誘等を目的とした電子メールの送信を許可する方針(オプトイン方式)が導入されました。,
2007年4月1日から、緊急通報(警察、消防等)における位置通知が義務化されておりますが、常に移動している端末の位置を把握するために用いられている方式のうち誤りはどれか？,スマートフォンのAirplaneモードをONにすると、無線アクセスポイント経由で位置情報をサーバーへ共有し、屋内や地下などの基地局やGPSの電波が届かない場所でも位置測定が可能。,GNSSを用いた測位方式は、全地球上の現在位置を測定可能であり、端末の位置情報・高度等が誤差数m～数十m程度となっている。,通信事業者の基地局を利用した測位方式において、測定誤差は500m～3km程度発生する可能性がある。,位置情報を利用したサービスの中には、ユーザ向けのサービスのみならず、統計的な人口分布情報に活用されたりもしている。,位置測位には、基地局を用いる方式、GNSSを用いる方式、無線LANを用いる方式があり、端末をAirplaneモードに設定すると、外部との電波通信をOFFにしてしまうため、測位ができなくなる。,
無線アクセスネットワーク（RAN）とコアネットワーク（CN）関する以下の文において、 【A】に入れるに適切な語句を選択せよ。「RANとCNのインターフェースに新しい機能を導入する際には、従来の機能に対応したモバイル端末も継続して利用できるように 【A】 を維持することが一般的である。」,後方互換性,前方互換性,上位互換性,下位互換性,,
デジタル変調に関する以下の文において、【A】 、【B】 に入れる適切な語句の組み合わせとして正しいものを選択せよ。「デジタル変調の多値数が増えるに従って１シンボル時間で伝送できる情報量は 【A】なり、雑音や干渉の影響による受信時データ判定誤りが 【B】 なる。 」,【A】 大きく【B】発生しやすく,【A】大きく【B】発生しにくく,【A】小さく【B】発生しやすく,【A】小さく【B】発生しにくく,,
OFDM / OFDMAをベースとしたシステムとして、間違っているものを選択せよ,3G（第3世代システム）,無線LANのIEEE 802.11a,LTE,モバイルWiMAX,,
図は各種変調方式の変調シンボル点を位相・振幅平面上に配置したものである。それぞれの伝送情報量[ビット]の組み合わせで正しいものを選択肢より1つ選択せよ。,【A】1【B】2【C】3【D】4【E】8,【A】1【B】2【C】4【D】5【E】8,【A】2【B】4【C】8【D】16【E】16384,【A】2【B】4【C】8【D】16【E】256,,mcpc_rank2_4_45.jpg
図は各種変調方式の変調シンボル点を位相・振幅平面上に配置したものである。それぞれの変調方式の名称の組み合わせで正しいものを選択肢より1つ選択せよ。,【A】BPSK【B】QPSK【C】8PSK【D】16QAM【E】256QAM,【A】PCM【B】BPSK【C】QPSK【D】16QAM【E】256QAM,【A】PCM【B】BPSK【C】16QAM【D】256QAM【E】1024QAM,【A】ASK【B】BPSK【C】QPSK【D】16QAM【E】256QAM,,mcpc_rank2_4_46.jpg
以下は多重化/多元化についての記載である。空欄について正しい組み合わせを選択肢より1つ選択せよ。【A】とは、一つの周波数帯域を複数の帯域に分割し、その中からそれぞれの通信が異なる周波数を占有して利用する方法である。【B】とは、複数の信号を時分割した一つの信号列に伝送する方法である。【C】とは、複数の通信を拡散符号によって区別する技術である。デジタル変調された複数の信号の各々を、互いに異なる（または互いに直交する）拡散符号と呼ばれる特殊なビット列で拡散変調し、周波数方向に薄く広がった電力密度の低い信号を生成した上で、これらを同一の周波数に重ね合わせて伝送する。【D】とは、伝送するデジタルデータを数百～数千という多数の並列低速データに分割し、それぞれの低速データでサブキャリアを変調した上で、データシンボル周期の逆数の整数倍の周波数間隔に配置し、周波数軸上で隣接するサブキャリア同士が重なり合う稠密な配置とデータ伝送の際にそれらが互いに干渉しない直交性を両立して、高い周波数利用効率で高速伝送を実現する技術である。,【A】FDM/FDMA【B】TDM/TDMA【C】CDM/CDMA【D】OFDM/OFDMA,【A】OFDM/OFDMA【B】TDM/TDMA【C】FDM/FDMA【D】CDM/CDMA,【A】OFDM/OFDMA【B】TDM/TDMA【C】CDM/CDMA【D】FDM/FDMA,【A】FDM/FDMA【B】CDM/CDMA【C】TDM/TDMA【D】OFDM/OFDMA,,
以下はOFDM/OFDMAに関する記載である。空欄に正しいものを選択肢より選択せよ。OFDM/OFDMAとは、伝送するデジタルデータを数百～数千という多数の並列低速データに分割し、それぞれの低速データで[     ]を変調した上で、データシンボル周期の逆数の整数倍の周波数間隔に配置し、周波数軸上で隣接するサブキャリア同士が重なり合う稠密な配置とデータ伝送の際にそれらが互いに干渉しない直交性を両立して、高い周波数利用効率で高速伝送を実現する技術である。,サブキャリア,ガードインターバル,チャネル,ボンディング,,
以下はOFDM/OFDMAに関する記載である。空欄に正しいものを選択肢より選択せよ。OFDM/OFDMAの各サブキャリアではシンボル時間の長い信号を使った低速データ伝送となるため、時間軸上の各シンボル間にサイクリック・プリフィクスと呼ばれる干渉低減用信号を挿入するためのガード・インターバルを設けることで、効果的に[      ]の影響を軽減できるという利点がある。,マルチパス,ノイズ,リソースブロック,リソース割り当て,,
移動体通信に利用される周波数帯域について誤ったものを選べ,ローカル5G用として4.7GHz帯と30GHz帯の割り当てが行われている,2GHz帯はITU-Rにおいて初のIMT用の世界共通帯域として合意された周波数帯,携帯電話用の周波数帯としてはUHF帯とSHF帯の一部が使われている,2.4GHz帯はISMバンドの一つで無線LAN等で広く利用されている,ローカル5G用として4.7GHz帯と28GHz帯の割り当てが行われている,
電波の特性について正しい組み合わせを選べ低い周波数の電波は【A】の性質を強く持っており、中波や長波では障害物があっても反射や【B】を繰り返しながら見通し外にある遠距離の場所まで到達可能である。対して、周波数が高くなるほど【C】の性質に近づいて【D】性が高くなり、見通せる範囲外との通信は一般には困難になる。,【A】波【B】回折【C】光【D】直進,【A】波【B】直進【C】光【D】回折,【A】光【B】回折【C】波【D】直進,【A】光【B】直進【C】波【D】回折,低い周波数は波の性質が強く、反射や回折によって障害物があっても電波が届きやすい。対して高い周波数になるほど光の性質に近づき直進性が高くなる。,
第5世代携帯電話システム(5G NR)では、【A】を利用するため、電波の距離による減衰の度合も大きくなるが、多数のアンテナ素子 を利用した 【B】 という技術により安定な高速伝送を実現する。,【A】 高い周波数帯域【B】MIMO,【A】 低い周波数帯域【B】MIMO,【A】 高い周波数帯域【B】SISO,【A】 低い周波数帯域【B】SISO,第5世代携帯電話システム(5G NR)では、広帯域伝送を行うため高い周波数帯域を利用してます。その結果、電波の波長がミリメートル単位となり距離による減衰の度合いも大きくなります。それを補うために多数のアンテナ素子を利用したMIMO伝送が適用され、高い周波数帯においても安定した高速伝送を実現することが可能となります。,
複数のアンテナ間の相対的な信号位相を制御することで、空間の方向によって電波の強さ(アンテナの指向性)を制御する技術のことをなんと言うか？,ビームフォーミング,ハンドオーバー,5Gスタンドアローン,ミリ波,ハンドオーバー：「移動局(携帯端末等)が通信する基地局を移動中に切り替える」のため誤り5Gスタンドアローン：「基地局だけでなく無線を制御するコア設備も含め、5G専用の技術と設備で構成されたネットワークシステム」のことのため誤りミリ波：「周波数が30GHzから300GHzの電磁波」のことのため誤り,
電波を使った通信においては、送信側の送信電力が同一ならば、一般に受信局に近い場所から送信された信号は【A】、遠方からの信号は 【B】 受信される。このように、送信地点からの距離の遠近によって受付される電波の強度に差が発生することを 【C】 と呼ぶ。,【A】 強く【B】弱く【C】遠近問題,【A】 弱く【B】強く【C】遠近問題,【A】 強く【B】弱く【C】マルチパスフェージング,【A】 弱く【B】強く【C】マルチパスフェージング,電波を使った通信においては、一般に受信局が送信局に近い方が受信する信号が強く、遠方の方が弱くなります。このような基地局からの距離の違いによって受信電波強度に差が発生することが遠近問題です。,
携帯電話システムで1つの基地局がカバーするエリアを【A】と呼びます。【A】の半径は一般に【B】で、これを細胞のように面的に隣接するように配置して携帯電話のサービスエリアを構成します。多数の【A】でサービスエリアを構築するこの方法を【C】と呼びます。,【A】セル【B】数100m～数km程度【C】セルラー方式,【A】セル【B】数100km～数1000km程度【C】セルラー方式,【A】セクタ【B】数100m～数km程度【C】セクター方式,【A】セクタ【B】数100km～数1000km程度【C】セクター方式,,
RANをセクタ化をするためには、使用する機器は何か正しいものを選べ。,指向性アンテナ,無指向性アンテナ,RU,Open-RAN,セクタ化を実施する場合には、指向性アンテナが使用されます。RUはRadio Unitの略でアンテナ、送信増幅器、受信増幅器、変復調部の無線処理系のセットを指します。Open-RANはRUとCU/DU間の規格になります。,
以下の図は、基地局装置とアンテナの構成の例である。【A】～【C】について正しい語句の組合せを選べ。,【A】コアネットワーク【B】CU/DU【C】RU,【A】セントラルネットワーク【B】CU/DU【C】RU,【A】コアネットワーク【B】RU【C】CU/DU,【A】セントラルネットワーク【B】RU【C】CU/DU,RU（Radio Unit）は、アンテナ、送信増幅器、受信増幅器、無線処理を指します。CU/DU（Central Unit/Distributed Unit）は、ベースバンド処理と制御を指します。CNはコアネットワークになります。,mcpc_rank2_4_57.jpg
通信中に端末がセルを跨って移動する際に、接続する基地局を自動的に切り替えて通信を維持する作業を【A】という。周辺の複数の基地局の電波を測定して結果を基地局側に報告し、基地局側が隣接の基地局への切り替えが必要と判断したときに端末に指示を送って回線を切り替える【B】と呼ぶ方式が主流である。,【A】ハンドオーバー【B】端末アシスト型,【A】ハンドオーバー【B】ネットワークアシスト型,【A】位置登録【B】ネットワークアシスト型,【A】位置登録【B】端末アシスト型,,
日本初の第１世代の携帯電話システムは、電々公社(当時)によって1979年に【A】方式と呼ぶ方式が導入された。FDM/FDMAに【B】変調を適用した音声通信を主体とする方式である。第２世代システムは、1993年に【C】によって導入された【D】である。加入者容量増のために高効率のデジタル音声符号化とデジタル変調を採用したTDM/TDMAのシステムである。,【A】NTT【B】アナログ【C】NTTドコモ【Ｄ】PDC(Personal Digital Cellular),【A】NTT【B】アナログ【C】IDO(現KDDI)【Ｄ】IS-95(cdma One),【A】IDO(現KDDI)【B】アナログ【C】NTTドコモ【Ｄ】GSM(Global System for Mobile Communications),【A】NTT【B】デジタル【C】IDO(現KDDI)【Ｄ】PDC(Personal Digital Cellular),日本初の第１世代の携帯電話システムは、電々公社(当時)によって1979年にNTT方式と呼ぶ方式が導入されました。FDM/FDMAにアナログ変調を適用した音声通信を主体とする方式です。第２世代システムは、1993年にNTTドコモによって導入されたPDC(Personal Digital Cellular)です。加入者容量増のために高効率のデジタル音声符号化とデジタル変調を採用したTDM/TDMAのシステムです。,
IMTファミリーの記載（表4－6－1）として正しいものを選べ,【A】W-CDMA、【B】3GPP、【C】LTE-Advanced,【A】cdma One、【B】3GPP2、【C】LTE-Advanced,【A】W-CDMA、【B】3GPP2、【C】LTE-Advanced,【A】W-CDMA、【B】3GPP、【C】IMT-Advanced,,mcpc_rank2_4_60.jpg
